index,binder_name,page_number,slot_number,card_name,card_number,set_id,set_name,card_market_value
1-17-5,1,17,5,Electrode,21,base1,Base,6.86
1-17-6,1,17,6,Electabuzz,20,base1,Base,7.43
1-17-7,1,17,7,Starmie,64,base1,Base,0.45
1-17-8,1,17,8,Staryu,65,base1,Base,0.36
1-17-9,1,17,9,Double Colorless Energy,96,base1,Base,5.78
1-18-1,1,18,1,Professor Oak,88,base1,Base,1.08
1-18-2,1,18,2,Bill,91,base1,Base,0.33
1-18-3,1,18,3,Energy Removal,92,base1,Base,0.37
1-18-4,1,18,4,Pokédex,87,base1,Base,0.44
1-18-5,1,18,5,Switch,95,base1,Base,0.3
1-18-6,1,18,6,Potion,94,base1,Base,0.2
1-18-7,1,18,7,Super Potion,90,base1,Base,0.29
1-18-8,1,18,8,Pokémon Center,85,base1,Base,1.6
1-18-9,1,18,9,Energy Retrieval,81,base1,Base,0.61
1-19-1,1,19,1,Fire Energy,98,base1,Base,0.32
1-19-2,1,19,2,Lightning Energy,100,base1,Base,0.3
1-19-3,1,19,3,Water Energy,102,base1,Base,0.32
1-19-4,1,19,4,Grass Energy,99,base1,Base,0.28
1-19-5,1,19,5,Psychic Energy,101,base1,Base,0.35
1-19-6,1,19,6,Fighting Energy,97,base1,Base,0.31
1-19-7,1,19,7,Double Colorless Energy,96,base1,Base,5.78
1-19-8,1,19,8,Charizard,4,base1,Base,458.29
1-19-9,1,19,9,Blastoise,2,base1,Base,159.26
1-20-1,1,20,1,Venusaur,15,base1,Base,119.17
1-20-2,1,20,2,Mewtwo,10,base1,Base,38.91
1-20-3,1,20,3,Zapdos,16,base1,Base,36.66
1-20-4,1,20,4,Gyarados,6,base1,Base,34.98
1-20-5,1,20,5,Poliwrath,13,base1,Base,20.44
1-20-6,1,20,6,Nidoking,11,base1,Base,28.8
1-20-7,1,20,7,Hitmonchan,7,base1,Base,18.55
1-20-8,1,20,8,Magneton,9,base1,Base,20.24
1-20-9,1,20,9,Chansey,3,base1,Base,28.48
